Capture ID,Date,Avg surface (px^2),Avg surface (mm^2),Avg weight,Bcmk len
1,2023-08-07 17:25:49.083947,386.928571428571,81.1938861738159,187.224200315465,87.32
2,2023-08-07 17:25:50.018296,380.5,80.1935087280057,185.293471845051,87.13
3,2023-08-07 17:25:51.080246,375.875,78.4246744107838,181.879621612813,87.57
4,2023-08-07 17:25:52.068779,367.0625,75.7704616112498,176.756990909712,88.04
5,2023-08-07 17:25:53.088068,368.125,75.9552736146235,177.113678076223,88.06
6,2023-08-07 17:25:54.213666,378.5625,78.3399747705704,181.716151307201,87.93
7,2023-08-07 17:25:55.053504,397.5625,82.1596839912004,189.088190103017,87.99
8,2023-08-07 17:25:56.084375,392.3125,81.074726680202,186.99422249279,87.99
9,2023-08-07 17:25:57.071661,358.3125,74.1325636615492,173.59584786679,87.94
10,2023-08-07 17:25:58.065438,348.875,72.2621540457466,169.985957308291,87.89
11,2023-08-07 17:25:59.108079,351.125,73.4283013873388,172.236621677564,87.47
12,2023-08-07 17:26:00.136365,369.6875,77.6827035461504,180.44761784407,87.26
13,2023-08-07 17:26:01.072704,373.833333333333,78.7884538225654,182.581715877551,87.13
14,2023-08-07 17:26:02.076059,359,75.6448419884079,176.514545037627,87.14
15,2023-08-07 17:29:01.140486,431.166666666667,11.3076212799204,52.3437090702465,247
16,2023-08-07 17:29:02.124580,424.8125,11.5107791833901,52.7358038239428,243
17,2023-08-07 17:29:03.102147,423.833333333333,91.68920137011,207.480158644312,86
18,2023-08-07 17:29:04.129660,385.944444444444,83.4925785709993,191.660676642029,86
19,2023-08-07 17:29:05.134783,428.15,92.6230394808004,209.282466197945,86
20,2023-08-07 17:29:06.125121,472.05,102.120064899946,227.611725256896,86
21,2023-08-07 17:29:07.138411,426.3,92.2228231476474,208.510048674959,86
22,2023-08-07 17:29:08.157394,429.818181818182,92.9839225133979,209.978970450858,86
23,2023-08-07 17:29:09.137918,483.681818181818,104.636412802989,232.468276709769,86
24,2023-08-07 17:29:10.152645,457,95.9197871304847,215.645189161835,87.31
25,2023-08-07 17:29:11.170517,505.055555555556,105.763763131,234.644062842831,87.41
26,2023-08-07 17:29:12.157550,410.6,86.1019741422781,196.696810094597,87.35
27,2023-08-07 17:29:13.142126,372.5,78.0946007594359,181.242579465711,87.36
28,2023-08-07 17:29:14.140140,364,76.0511873067225,177.298791501975,87.51
29,2023-08-07 17:29:15.156315,397.21875,82.8022927616778,190.328425030038,87.61
30,2023-08-07 17:29:16.165803,436.125,91.2454752384847,206.623767210275,87.45
31,2023-08-07 17:29:17.172294,420.333333333333,88.102684797008,200.558181658225,87.37
32,2023-08-07 17:29:18.214603,408.911764705882,85.6106873788495,195.74862664118,87.42
36,2023-08-07 17:32:56.231964,366.25,78.1379174244889,181.326180629264,86.6
39,2023-08-07 17:32:59.204419,364,1.74641507165035,33.8905810882852,577.48
40,2023-08-07 17:33:00.255588,339,2.08535178777393,34.5447289504037,510
41,2023-08-07 17:33:01.247030,326,1.9069276018265,34.2003702715251,523
42,2023-08-07 17:33:02.250355,445.571428571429,24.961110805444,78.6949438545069,169
43,2023-08-07 17:33:03.252522,463.115384615385,96.9145298358314,217.565042583155,87.44
44,2023-08-07 17:33:04.248181,452.941176470588,95.002582543418,213.874984308797,87.34
45,2023-08-07 17:33:05.259492,481.911764705882,93.1118009333911,210.225775801445,91
46,2023-08-07 17:33:06.258858,425.96875,92.1511627906977,208.371744186047,86
47,2023-08-07 17:33:07.318100,462.333333333333,100.018027762755,223.554793582116,86
48,2023-08-07 17:33:08.259424,417.735294117647,62.2492289996021,150.661011969232,103.62
49,2023-08-07 17:33:09.293968,429.533333333333,64.2924216514771,154.604373787351,103.39
50,2023-08-07 17:33:10.309535,459.375,76.530612244898,178.224081632653,98
51,2023-08-07 17:33:11.254051,417.1,65.2013626983196,156.358630007757,101.17
52,2023-08-07 17:33:12.271037,463.214285714286,80.1851030755389,185.27724893579,96.14
53,2023-08-07 17:33:13.252748,461.875,81.7459211993213,188.28962791469,95.08
54,2023-08-07 17:33:14.234336,416.041666666667,63.2479932309635,152.58862693576,102.59
55,2023-08-07 17:33:15.259827,433.692307692308,45.6727724438342,118.6684508166,123.26
56,2023-08-07 17:33:16.260892,430.25,51.1593341260404,129.257514863258,116
57,2023-08-07 17:33:17.298129,424.888888888889,87.2902884667685,198.990256740863,88.25
58,2023-08-07 17:33:18.316149,458.433333333333,92.6011025543913,209.240127929975,89
59,2023-08-07 17:33:19.293571,439.192307692308,87.9224274566827,200.210284991397,89.4
60,2023-08-07 17:33:20.274587,455.78125,98.6005949161709,220.81914818821,86
61,2023-08-07 17:33:21.259195,413.730769230769,89.5036818238549,203.26210592004,86
62,2023-08-07 17:33:22.291286,398.545454545455,86.2185948178377,196.921887998427,86
63,2023-08-07 17:33:23.304993,405.35,87.6906435911303,199.762942130882,86
64,2023-08-07 17:33:24.283612,433.764705882353,96.0586199877875,215.91313657643,85
65,2023-08-07 17:33:25.289414,441.307692307692,97.729039126963,219.137045515039,85
66,2023-08-07 17:33:26.285126,468.055555555556,103.652441368704,230.569211841599,85
67,2023-08-07 17:33:27.292336,542.95,117.458085451595,257.214104921579,86
68,2023-08-07 17:33:28.284318,445.692307692308,95.5715702999106,214.973130678827,86.38
69,2023-08-07 17:33:29.298323,512.944444444444,110.043664916242,242.904273288347,86.36
70,2023-08-07 17:33:30.306568,465.175,99.8417674058671,223.214611093323,86.34
71,2023-08-07 17:37:07.372477,454.178571428571,96.6737193554401,217.100278355999,86.7
